location,date,new_cases
World,2022/5/1,0
World,2022/5/2,0
World,2022/5/3,0
World,2022/5/4,0
World,2022/5/5,0
World,2022/5/6,0
World,2022/5/7,1
World,2022/5/8,0
World,2022/5/9,0
World,2022/5/10,0
World,2022/5/11,0
World,2022/5/12,0
World,2022/5/13,0
World,2022/5/14,2
World,2022/5/15,4
World,2022/5/16,5
World,2022/5/17,3
World,2022/5/18,5
World,2022/5/19,18
World,2022/5/20,45
World,2022/5/21,28
World,2022/5/22,21
World,2022/5/23,35
World,2022/5/24,28
World,2022/5/25,47
World,2022/5/26,51
World,2022/5/27,25
World,2022/5/28,0
World,2022/5/29,3
World,2022/5/30,156
World,2022/5/31,58
World,2022/6/1,81
World,2022/6/2,91
World,2022/6/3,165
World,2022/6/4,42
World,2022/6/5,14
World,2022/6/6,93
World,2022/6/7,55
World,2022/6/8,112
World,2022/6/9,71
World,2022/6/10,182
World,2022/6/11,11
World,2022/6/12,14
World,2022/6/13,215
World,2022/6/14,165
World,2022/6/15,202
World,2022/6/16,138
World,2022/6/17,368
World,2022/6/18,22
World,2022/6/19,22
World,2022/6/20,332
World,2022/6/21,222
World,2022/6/22,161
World,2022/6/23,351
World,2022/6/24,424
World,2022/6/25,66
World,2022/6/26,49
World,2022/6/27,186
World,2022/6/28,513
World,2022/6/29,187
World,2022/6/30,437
World,2022/7/1,246
World,2022/7/2,97
World,2022/7/3,103
World,2022/7/4,183
World,2022/7/5,852
World,2022/7/6,477
World,2022/7/7,297
World,2022/7/8,94
World,2022/7/9,174
World,2022/7/10,1145
World,2022/7/11,227
World,2022/7/12,517
World,2022/7/13,685
World,2022/7/14,327
World,2022/7/15,442
World,2022/7/16,475
World,2022/7/17,76
World,2022/7/18,787
World,2022/7/19,1147
World,2022/7/20,639
World,2022/7/21,800
World,2022/7/22,683
World,2022/7/23,352
World,2022/7/24,16
World,2022/7/25,389
World,2022/7/26,1308
World,2022/7/27,1099
World,2022/7/28,512
World,2022/7/29,1564
World,2022/7/30,338
World,2022/7/31,3
World,2022/8/1,1039
World,2022/8/2,1585
World,2022/8/3,848
World,2022/8/4,951
World,2022/8/5,537
World,2022/8/6,808
World,2022/8/7,449
World,2022/8/8,778
World,2022/8/9,1260
World,2022/8/10,1814
World,2022/8/11,1099
World,2022/8/12,1317
World,2022/8/13,599
World,2022/8/14,610
World,2022/8/15,297
World,2022/8/16,839
World,2022/8/17,1311
World,2022/8/18,1383
World,2022/8/19,1245
World,2022/8/20,835
World,2022/8/21,21
World,2022/8/22,466
World,2022/8/23,1121
World,2022/8/24,1658
World,2022/8/25,869
World,2022/8/26,1520
World,2022/8/27,826
World,2022/8/28,265
World,2022/8/29,48
World,2022/8/30,877
World,2022/8/31,1601
World,2022/9/1,685
World,2022/9/2,834
World,2022/9/3,703
World,2022/9/4,278
World,2022/9/5,1
World,2022/9/6,1181
World,2022/9/7,642
World,2022/9/8,1400
World,2022/9/9,802
World,2022/9/10,285
World,2022/9/11,552
World,2022/9/12,72
World,2022/9/13,357
World,2022/9/14,858
World,2022/9/15,1206
World,2022/9/16,607
World,2022/9/17,694
World,2022/9/18,160
World,2022/9/19,165
World,2022/9/20,556
World,2022/9/21,1703
World,2022/9/22,333
World,2022/9/23,364
World,2022/9/24,442
World,2022/9/25,118
World,2022/9/26,128
World,2022/9/27,870
World,2022/9/28,1084
World,2022/9/29,384
World,2022/9/30,326
World,2022/10/1,185
World,2022/10/2,67
World,2022/10/3,9
World,2022/10/4,476
World,2022/10/5,1864
World,2022/10/6,244
World,2022/10/7,196
World,2022/10/8,72
World,2022/10/9,71
World,2022/10/10,30
World,2022/10/11,47
World,2022/10/12,671
World,2022/10/13,749
World,2022/10/14,142
World,2022/10/15,330
World,2022/10/16,34
World,2022/10/17,24
World,2022/10/18,63
World,2022/10/19,1277
World,2022/10/20,204
World,2022/10/21,94
World,2022/10/22,336
World,2022/10/23,184
World,2022/10/24,12
World,2022/10/25,137
World,2022/10/26,657
World,2022/10/27,102
World,2022/10/28,244
World,2022/10/29,143
World,2022/10/30,21
World,2022/10/31,20
